,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
17,数据分析师,12k-22k,3-5年,本科,金蝶,深圳 南山区 科技园,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/0b7efb92ec8b185f1HF42ti6FVU~.html
0,数据分析,20k-40k,5-10年,本科,金服银行科技中心,深圳 罗湖区 万象城,互联网金融,已上市,10000人以上,https://www.zhipin.com/job_detail/9b1d03b722df628f1nNy2Nq8GFY~.html
1,数据分析专家,25k-50k,5-10年,本科,金服银行科技中心,深圳 福田区 保税区,互联网金融,已上市,10000人以上,https://www.zhipin.com/job_detail/9eecf48c1dae61e51HBz0925EFo~.html
179,数据分析初级测试岗,14-20K,1-3年,本科,金服银行科技中心,深圳 福田区 保税区,互联网金融,已上市,10000人以上,https://www.zhipin.com/job_detail/1f840f4c1d0464d81XJ539-0GFU~.html
180,数据分析测试岗,15-30K,3-5年,本科,金服银行科技中心,深圳 福田区 保税区,互联网金融,已上市,10000人以上,https://www.zhipin.com/job_detail/4af17ac2a793e7621XF90t26FlY~.html
205,数据分析建模岗,10-20K,1-3年,本科,金服银行科技中心,深圳 罗湖区 万象城,互联网金融,已上市,10000人以上,https://www.zhipin.com/job_detail/d7c7e48a13de31c71XN739i1FlE~.html
13,数据分析师,4k-6k,1年以内,大专,锦泰宏,深圳 罗湖区 东门,企业服务,不需要融资,100-499人,https://www.zhipin.com/job_detail/92f30a67fd4bb9661ndy3dm_Flo~.html
170,高级数据分析师,15k-30k,5-10年,本科,京东,深圳 宝安区 新安,电子商务,已上市,10000人以上,https://www.zhipin.com/job_detail/7b32228063ef07401HF-3dy-EVo~.html
195,数据分析师,8-15K,1-3年,本科,开眼广告传媒,深圳 南山区 科技园,音乐/视频/阅读,天使轮,20-99人,https://www.zhipin.com/job_detail/da8717239b4f54f81nJ-2dW9E1A~.html
197,数据分析师,10-11K,1-3年,本科,科创航空,深圳 宝安区 新安,船舶/航空/航天,未融资,20-99人,https://www.zhipin.com/job_detail/f1b51e44d984351a1Xxz0tW5FFU~.html
